State_yyyy-yy,Domestic,Commercial,Industrial (Low & Med. Voltage),Industrial (High Voltage),Public Lighting,Traction,Agriculture,Public Water Works & Sewage Pumping,Miscellaneous,Total Energy Sold(GWH)
Himachal Pradesh-2017-18,1989.9,567.086,200.783,4751.608038,11.29,0,62.182,605.093,353.265,8541.207038
Jammu & Kashmir-2017-18,3442.8,1081.1,528.2,1177.599885,53.2,14.67,314.45,624.15,1162.8,8398.969885
Punjab-2017-18,13641.73,3889.01,3391.75,14830.8479,193.75,240.42,12294.64939,494.24,703.05,49679.44729
Rajasthan-2017-18,11998.33421,4576.579774,3054.069,17421.83076,347.651,388.36,22833.451,1896.533,675.797,63192.60575
Uttar Pradesh-2017-18,38292.30962,6237.60068,4318.1781,24755.97651,1039.59754,1723.35,17742.15438,2070.351146,4522.67279,100702.1908
Daman & Diu-2017-18,120.75,55.93,195.03,1980.11,9.47,0,4.73,3.49,9.78,2379.29
Maharashtra-2017-18,27946.84225,13742.33989,9555.59823,36921.12699,1900.990605,2500.384802,30306.89819,2770.100056,6579.278757,132223.5598
Madhya Pradesh-2017-18,12054.25781,2920.528821,1250.110573,13289.65603,416.2005434,1821.72,18473.17546,1515.75269,5143.975932,56885.37786
Gujarat-2017-18,14648.25284,3109.286218,16406.83835,63956.626,321.842345,695.01,13731.76325,2090.944201,2596.495852,117557.059
Chhattisgarh-2017-18,5025.078843,1489.455387,526.15625,23298.22328,100.609373,925.42902,4831.246324,338.102989,45.349989,36579.65145
Uttarakhand-2017-18,2741.53102,1232.479631,302.216388,7194.614681,57.313921,29.2,437.075577,367.225345,185.202,12546.85856
Gujarat-2018-19,15537.74698,4157.854,16224.39659,54922.67808,312.097905,743.05,14598.3477,2207.788654,1457.341525,110161.3014
Madhya Pradesh-2018-19,13385.40394,3141.30036,1281.208346,22072.51444,419.2392377,1951.48,20283.79745,1572.675396,5126.54921,69234.16838
Maharashtra-2018-19,28650.32074,15274.24317,9895.772406,39729.45453,1991.571641,3070.354572,34616.34,2851.107892,3408.757603,139487.9226
Daman & Diu-2018-19,132.580103,51.301433,197.461326,2022.776751,8.240854,0,4.831192,3.672964,11.070133,2431.934756
D & N Haveli-2018-19,122.16,34.2,216.07,5674.857,5.8,0,7.23,6.24,3.43,6069.987
Goa-2018-19,1152.05,541.73,131.3796,2193.620295,2.66,0,26.37,0,55.85,4103.659895
Andhra Pradesh-2018-19,14201.57077,4724.614733,5332.670577,21097.82908,553.727858,1534.807538,12838.5923,579.519623,2478.35559,63341.68807
Chhattisgarh-2018-19,5214.973106,1482.138643,539.858344,31035.82925,94.49,983.480953,5038.43,360.247728,0,44749.44802
Uttarakhand-2018-19,2823.776951,1269.45402,311.2828796,6985.374606,59.03333863,26.81,450.1878443,378.2421054,190.75806,12494.9198
Uttar Pradesh-2018-19,39524.48776,6501.04665,4293.007974,25043.00122,938.790583,2231,17362.02579,1741.768121,4100.111861,101735.24
Rajasthan-2018-19,12506.4295,4863.1205,3149.573495,20580.10142,353.583495,406.95,23300.35251,1952.336495,692.898,67805.34541
Punjab-2018-19,14163.8,3675.12,2909.5,16321.81326,157.83,228.48,11268.38,823.9,2815.27,52364.09326
Jammu & Kashmir-2018-19,4013.45,1263.4,601.4130115,1259.772286,59.32,23.17,349,701,1366,9636.525297
Himachal Pradesh-2018-19,2080.474,614.562,207.583,5250.506466,10.365,0,62.983,565.729,372.095,9164.297466
Haryana-2018-19,9623.261115,4547.935701,1831.470223,15431.04691,232.056703,409.827,9714.294559,1024.628161,1262.7917,44077.31207
Delhi-2018-19,15430.53724,7702.830999,3051.588088,392.459095,366.454104,499.593474,33.426295,386.3316745,1307.765655,29170.98662
Chandigarh-2018-19,704.67,472.98,125.15,135.456138,15.09,0,1.36,,80.93,1535.636138
Telangana-2018-19,11422.32262,5749.997041,1243.475346,15896.32611,365.4866015,725.969036,24077.04233,604.0002464,1555.455038,61640.07437
Karnataka-2018-19,12954.1923,6553.682637,2495.091179,24613.79113,1092.407835,99.903314,22788.19086,3903.289104,799.938606,75300.48697
Tripura-2018-19,524.75,86.15,28.97,27.198675,41.98,0,40.67364925,88.166,117.8,955.6883242
Nagaland-2018-19,380.43,97.56,67.07,0,14.87,0,0,10.3772,108.829,679.1362
Mizoram-2018-19,244.615902,61.038302,2.385504,11.967055,2.674921,0,0,68.575303,16.500923,407.75791
